wavelength,throughput
2.610968139044541,6.3469054937048336e-06
2.61164748110964,6.492987554550076e-06
2.612326821417949,6.642001957188047e-06
2.6130061599654475,6.7940023669335845e-06
2.613685496748119,6.9490895906202185e-06
2.614364831761946,7.107277079378204e-06
2.615044165002896,7.268620607200679e-06
2.6157234964669653,7.433165833874239e-06
2.616402826150161,7.600972159796599e-06
2.6170821540484788,7.772089811425127e-06
2.6178197088124997,7.94656365111646e-06
2.618499035833839,8.12445111027493e-06
2.619178361057617,8.305814594045964e-06
2.6198576844798387,8.490710810802138e-06
2.6205370060965136,8.679175541087215e-06
2.6212163259036383,8.871285722967728e-06
2.6218956438972145,9.06707759486409e-06
2.6225749600732824,9.266617537839828e-06
2.6232542744278593,9.469969799932495e-06
2.623933586956968,9.677187376599272e-06
2.6246128976566308,9.88832975674784e-06
2.625292206522843,1.0103463475566973e-05
2.6259715135516553,1.0322624095722837e-05
2.6266508187391073,1.0545898897707577e-05
2.6273301220812315,1.077332981023038e-05
2.6280094235740634,1.1004982347788619e-05
2.6286887232136302,1.124093274214827e-05
2.6293680209959596,1.148123966923746e-05
2.6300473169171203,1.1725948195389752e-05
2.6307266109731584,1.1975123370905597e-05
2.6314059031601236,1.2228851167544765e-05
2.632085193474067,1.2487181959863268e-05
2.632764481911003,1.2750177293872007e-05
2.6334437684670244,1.3017903191745296e-05
2.634123053138193,1.3290424578322363e-05
2.634802335920568,1.3567827393043977e-05
2.635481616810215,1.3850162097927725e-05
2.636160895803173,1.4137495064581894e-05
2.636840172895524,1.4429890119259464e-05
2.637519448083353,1.4727422749584784e-05
2.6381987213627327,1.5030181594769295e-05
2.638877992729741,1.5338196819786202e-05
2.6395572621804373,1.5651555541861797e-05
2.6402365297109,1.5970304160702732e-05
2.640915795317235,1.6294585484956642e-05
2.6415950589955286,1.662438433016797e-05
2.6422743207418686,1.6959815682204792e-05
2.6429535805523354,1.7300955934178034e-05
2.6436328384230072,1.764786409260353e-05
2.644312094350008,1.800060943917423e-05
2.644991348329436,1.835928566772393e-05
2.6456706003573944,1.872393145298397e-05
2.6463498504299774,1.9094639196332237e-05
2.647029098543268,1.9471478260381267e-05
2.6477083446934073,1.985453402730786e-05
2.648387588876507,2.024387190957005e-05
2.649066831088681,2.0639567258735722e-05
2.6497460713260357,2.1041706081684217e-05
2.650425309584669,2.1450335456605754e-05
2.6511045458607323,2.1865557254199705e-05
2.65178378015035,2.2287423604646954e-05
2.65246301244965,2.2716030538550788e-05
2.6531422427547495,2.315145068689297e-05
2.6538214710617587,2.3593750005771158e-05
2.654500697366843,2.404302505199702e-05
2.6551799216661403,2.4499340316222407e-05
2.6558591439557864,2.4962761610380867e-05
2.6565383642319103,2.5433374122766057e-05
2.657217582490642,2.5911269994511953e-05
2.657896798728156,2.6396522229425278e-05
2.6585760129406015,2.6889214788540604e-05
2.6592552251241277,2.7389416213488057e-05
2.659934435274866,2.789718370265816e-05
2.6606136433889773,2.841262437020539e-05
2.6612928494626384,2.8935788284215823e-05
2.661972053492012,2.9466789677541303e-05
2.66265125547326,3.0005658659543724e-05
2.663330455402516,3.055250384357577e-05
2.664009653275972,3.110740667568558e-05
2.664688849089809,3.167045761481167e-05
2.6653680428401993,3.2241704680541985e-05
2.6660472345233175,3.282123609899579e-05
2.6667264241353026,3.3409128244224334e-05
2.6674056116723777,3.400547992636594e-05
2.668084797130725,3.461034839850628e-05
2.6688223985251303,3.522380055107997e-05
2.6695015824677344,3.5845936071304094e-05
2.6701807643195106,3.647681895722344e-05
2.6708599440766525,3.7116631305958575e-05
2.6715391217353286,3.776524787266324e-05
2.6722182972917445,3.8422825858636935e-05
2.6728974707421207,3.9089476367005485e-05
2.67357664208266,3.9765275058440715e-05
2.6742558113095685,4.045027301707442e-05
2.6749349784190075,4.1144567194299596e-05
2.6756141434072345,4.184822925209288e-05
2.6762933062704617,4.2561322460049224e-05
2.676972467004905,4.328389184685191e-05
2.67765162560676,4.4016084229349786e-05
2.678330782072245,4.475792447026534e-05
2.6790099363976068,4.5509497563596066e-05
2.6796890885790705,4.627088083617001e-05
2.680368238612864,4.704214441439021e-05
2.6810473864951705,4.782336798356629e-05
2.681726532222269,4.861461481783936e-05
2.682405675790395,4.941594171391283e-05
2.6830848171957857,5.0227442214851975e-05
2.683763956434653,5.104916656908452e-05
2.684443093503247,5.188119189171407e-05
2.6851222283978324,5.272362181588103e-05
2.685801361114656,5.3576467240654204e-05
2.686480491649959,5.44398025589357e-05
2.687159619999963,5.531371800873826e-05
2.68783874616096,5.619825868683925e-05
2.6885178701292083,5.7093496593027594e-05
2.689196991900968,5.799951781772966e-05
2.6898761114724565,5.891637770512997e-05
2.6905552288399757,5.984413885252835e-05
2.691234343999796,6.078286093159009e-05
2.6919134569481877,6.173263204645068e-05
2.6925925676813955,6.269345718576157e-05
2.693271676195696,6.366541573182624e-05
2.693950782487391,6.464857204499463e-05
2.694629886552755,6.564298964630846e-05
2.6953089883880583,6.66487047322669e-05
2.6959880879895604,6.766578532420543e-05
2.696667185353584,6.869428148366674e-05
2.6973462804764163,6.97342841595395e-05
2.6980253733543456,7.078581945411468e-05
2.6987044639836197,7.184890556828234e-05
2.6993835523605823,7.29236456607367e-05
2.700062638481532,7.401006352507442e-05
2.7007417223427663,7.510823471317624e-05
2.701420803940545,7.621817369373827e-05
2.7020998832712113,7.733994273847433e-05
2.7027789603310786,7.847360236207293e-05
2.703458035116456,7.961915974990194e-05
2.7041371076236196,8.077668578652352e-05
2.704816177848907,8.194621205975916e-05
2.7054952457886476,8.312773495913552e-05
2.706174311439163,8.432134332952469e-05
2.706853374796741,8.552711322232241e-05
2.707532435857719,8.674504950476326e-05
2.7082114946184435,8.797517906383482e-05
2.7088905510752435,8.921753625023432e-05
2.7095696052244183,9.04721716733026e-05
2.7102486570623117,9.173909628624642e-05
2.71092770658528,9.301833107735556e-05
2.711606753789663,9.430991671011044e-05
2.7122857986717728,9.561389263534423e-05
2.712964841227956,9.69302731892698e-05
2.7136438814545825,9.825908532191527e-05
2.714322919348001,9.960035010456347e-05
2.7150019549045323,0.00010095411809408121
2.7156809881205337,0.0001023203776059714
2.7163600189923844,0.00010369910845479263
2.717039047516441,0.00010509035538086391
2.717718073689036,0.00010649415561425781
2.7183970975065352,0.00010791050381151525
2.7190761189653254,0.00010933944348571163
2.719755138061778,0.00011078095418237339
2.7204341547922257,0.00011223505427647729
2.721113169153053,0.0001137017692788586
2.721792181140655,0.00011518109402401628
2.7224711907514085,0.00011667303456250557
2.723208814471952,0.00011817759914927344
2.723887821917767,0.0001196947722670978
2.7245668269752086,0.00012122453974199877
2.7252458296406497,0.00012276693866636098
2.7259248299105128,0.00012432194631226007
2.726603827781188,0.00012588956766876598
2.7272828232490394,0.00012746975310065222
2.727961816310466,0.00012906255565288337
2.7286408069618906,0.0001306679065380304
2.7293197951997135,0.00013228579431104304
2.7299987810202984,0.00013391627530256138
2.730677764420072,0.0001355592925885667
2.731356745395459,0.00013721481222160739
2.732035723942867,0.000138882848207763
2.732714700058659,0.00014056336175133992
2.7333936737392928,0.00014225635563587223
2.734072644981191,0.0001439617828147698
2.7347516137807646,0.0001456796176631333
2.7354305801343934,0.0001474098757074509
2.7361095440385497,0.00014915244080661346
2.736788505489658,0.0001509073510751393
2.737467464484126,0.00015267452961734103
